                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1777,                0.80504,                 1.0367,                0.91272,                0.82558,                0.91671,                0.62484,                 1.0934,                0.56541,                0.99736,              0.0033196,              0.0033196,              0.0033196
                      2,                 1.0528,                0.57444,                0.97201,                0.91868,                0.86646,                0.93833,                0.65854,                 1.0152,                0.52973,                0.98929,               0.006587,               0.006587,               0.006587
                      3,                 1.0646,                0.59022,                 0.9789,                0.91395,                0.83955,                0.92094,                0.62488,                 1.0812,                0.63875,                 1.0143,              0.0097885,              0.0097885,              0.0097885
                      4,                 1.0862,                0.60581,                0.99707,                  0.916,                0.84222,                0.92051,                0.60847,                  1.143,                0.61937,                 1.0487,               0.009703,               0.009703,               0.009703
                      5,                 1.0368,                 0.5707,                 0.9828,                0.92441,                0.84698,                0.92665,                0.65265,                  1.035,                0.55509,                 1.0075,               0.009703,               0.009703,               0.009703
                      6,                 1.0019,                0.55101,                0.97571,                0.92666,                 0.8544,                0.93144,                0.66937,                0.98511,                0.52834,                0.98943,               0.009604,               0.009604,               0.009604
                      7,                0.97734,                0.53132,                0.96534,                0.92171,                0.86656,                0.93658,                0.66187,                 1.0273,                 0.5389,                0.99516,               0.009505,               0.009505,               0.009505
                      8,                0.95822,                0.51579,                0.95957,                0.92864,                0.86622,                0.93978,                0.67566,                0.99033,                0.50998,                0.98841,               0.009406,               0.009406,               0.009406
                      9,                 0.9337,                0.50468,                0.95494,                0.92676,                0.88373,                0.94639,                0.68543,                0.96999,                0.49771,                0.98023,               0.009307,               0.009307,               0.009307
                     10,                0.92486,                0.49365,                0.94809,                0.92913,                0.88519,                0.95032,                 0.6928,                0.94614,                0.49949,                0.97054,               0.009208,               0.009208,               0.009208
                     11,                 0.9021,                0.48088,                0.94169,                0.93099,                0.88275,                 0.9514,                0.69941,                0.95187,                0.48156,                0.96698,               0.009109,               0.009109,               0.009109
                     12,                0.88575,                0.47117,                0.93425,                0.94364,                0.88751,                0.95579,                0.70224,                 0.9355,                0.47328,                0.96335,                0.00901,                0.00901,                0.00901
                     13,                 0.8749,                0.46213,                0.93077,                0.93446,                0.89468,                0.95684,                0.71675,                0.91503,                0.46426,                0.95743,               0.008911,               0.008911,               0.008911
                     14,                0.86518,                 0.4595,                0.92773,                0.94035,                0.88783,                0.95741,                0.71349,                0.92647,                0.46421,                0.96198,               0.008911,               0.008911,               0.008911
                     15,                0.85716,                0.45331,                0.92722,                0.94267,                0.90307,                0.96062,                 0.7185,                0.90596,                0.44724,                0.94646,               0.008713,               0.008713,               0.008713
                     16,                 0.8411,                0.44293,                0.92017,                0.94447,                0.90525,                0.96354,                0.72989,                0.87886,                0.43282,                0.94305,               0.008614,               0.008614,               0.008614
                     17,                0.83621,                0.43663,                0.91749,                0.95088,                0.90344,                 0.9662,                0.73021,                0.88354,                0.42921,                0.94489,               0.008515,               0.008515,               0.008515
                     18,                0.82562,                0.43017,                0.91438,                0.94599,                0.90466,                0.96388,                0.73302,                0.87779,                0.43227,                0.94332,               0.008416,               0.008416,               0.008416
                     19,                0.81606,                 0.4262,                0.91524,                0.94622,                0.91607,                0.96779,                0.74196,                0.85895,                0.42087,                0.93613,               0.008317,               0.008317,               0.008317
                     20,                0.80895,                0.42053,                0.91013,                 0.9368,                0.91129,                0.96302,                0.73425,                0.87349,                0.42655,                0.93686,               0.008218,               0.008218,               0.008218
                     21,                0.80366,                0.41626,                0.90953,                0.94753,                0.91924,                0.96903,                0.74588,                0.84648,                0.40957,                0.93357,               0.008119,               0.008119,               0.008119
                     22,                0.79232,                0.41191,                0.90464,                0.94711,                0.91185,                0.96701,                0.73126,                0.88543,                0.42245,                0.94079,                0.00802,                0.00802,                0.00802
                     23,                 0.7921,                0.40808,                0.90359,                 0.9482,                0.92243,                0.97139,                0.74873,                0.84175,                0.41424,                0.92852,               0.007921,               0.007921,               0.007921
                     24,                0.77762,                0.40227,                0.89819,                0.94749,                0.91843,                0.97025,                0.74884,                0.85447,                0.40835,                0.92711,               0.007822,               0.007822,               0.007822
                     25,                0.77172,                0.39672,                0.89569,                0.94936,                0.92032,                0.97005,                0.74847,                0.85176,                0.40041,                 0.9294,               0.007723,               0.007723,               0.007723
